Trace length, % Trace in CG, Trace_len/CG_size
11,0.090909091,0.15625
9,0,0.25
16,0.0625,0.326086957
65,0.076923077,0.230215827
24,0.041666667,0.370967742
14,0,0.117117117
28,0,0.247706422
6,0,0.555555556
84,0,1.220588235
202,0.014851485,0.558333333
65,0.015384615,0.453900709
29,0.068965517,0.21875
17,0,4
74,0.027027027,0.41954023
40,0,0.214285714
22,0,2.333333333
44,0,0.380530973
56,0,0.964912281
32,0,1
6,0.166666667,0.166666667
7,0.142857143,0.1875
30,0.3,0.318681319
68,0,1.675
22,0,0.552631579
8,0.25,0.269230769
8,0,0.538461538
25,0.04,0.363636364
5,0.2,0.031007752
20,0.05,0.218390805
21,0,0.238095238
12,0.25,0.261904762
51,0,0.704225352
34,0.117647059,0.34375
90,0,0.367768595
36,0.138888889,0.479452055
56,0,0.964912281
39,0,1.117647059
40,0,0.619047619
18,0,0.303571429
81,0,0.276816609
25,0,0.923076923
29,0,0.474576271
10,0,0.818181818
22,0.045454545,0.259259259
21,0.047619048,0.170940171
241,0.012448133,0.668523677
16,0.125,0.25
30,0.033333333,0.381578947
31,0,0.769230769
20,0,0.395833333
17,0,0.301886792
39,0,0.426966292
39,0,0.426966292
51,0,1.315789474
11,0.090909091,0.227272727
76,0.039473684,0.641025641
169,0.017751479,0.283783784
15,0,0.144329897
13,0,0.428571429
6,0,0.714285714
36,0,0.169902913
75,0.08,0.238709677
130,0.030769231,0.371757925
50,0.02,0.368421053
35,0.057142857,0.618181818
23,0.130434783,0.181818182
135,0.022222222,0.45890411
4,0.25,0.25
38,0.026315789,0.318965517
39,0.025641026,0.37254902
20,0,0.215909091
40,0,0.180555556
46,0,0.775862069
42,0,5.125
39,0.025641026,0.62295082
58,0,1.583333333
59,0,1.611111111
81,0,0.425531915
30,0.033333333,0.204225352
35,0.028571429,0.523076923
11,0,0.37037037
41,0.048780488,0.305343511
59,0,0.828571429
80,0.075,0.225071225
4,0.5,0.428571429
56,0,2.391304348
23,0,0.956521739
20,0,0.296875
84,0,1.317460317
32,0,1.033333333
60,0,0.819444444
59,0,0.491525424
26,0,0.446428571
122,0.008196721,1.315217391
28,0,0.310344828
16,0.125,0.319148936
30,0,0.337209302
34,0.147058824,0.226027397
10,0.3,0.116883117
9,0.111111111,0.266666667
19,0.105263158,0.159292035
7,0.142857143,0.375
6,0.166666667,0.131578947
27,0.222222222,0.346666667
14,0.142857143,0.371428571
6,0.166666667,0.125
39,0.051282051,0.149606299
23,0,0.314285714
5,0,0.333333333
11,0.090909091,0.212765957
9,0,0.258064516
127,0.007874016,1.774647887
16,0,0.652173913
51,0,0.328947368
7,0,0.375
24,0.125,0.359375
10,0.1,0.101123596
64,0.046875,0.434482759
6,0.166666667,0.135135135
27,0.185185185,0.189781022
35,0.057142857,0.303571429
24,0,0.242105263
114,0.026315789,0.357594937
51,0,0.714285714
114,0.026315789,0.357594937
12,0,0.211538462
17,0.058823529,0.444444444
66,0.045454545,0.485074627
31,0,0.483870968
22,0.090909091,0.157894737
5,0,0.030534351
13,0.076923077,0.387096774
18,0,0.68
22,0,0.344262295
67,0.014925373,0.464788732
5,0.2,0.307692308
38,0.052631579,0.145669291
54,0,0.184027778
5,0,0.114285714
